,x1
0,0.4125673885483874
1,0.2992838619043997
2,0.4653917981694444
3,0.19048512323224914
4,0.6476001081644059
5,0.13497287935067193
6,0.5731373645849486
7,0.21412261194749418
8,0.24274717795324555
9,0.45302583210434877
10,0.6238817403011739
11,0.10438124911225927
12,0.4126330744618807
13,0.3278587654280449
14,0.15774758607637537
15,0.4160003403810664
16,0.15864773799092935
17,0.370256971221784
18,0.20503308584343774
19,0.2523505026403283
20,0.2988099856772492
21,0.4592692393390749
22,0.17668360619992182
23,0.363220025684123
24,0.24148423666029623
25,0.2285179900082405
26,0.42094273161138956
27,0.23475427825520703
28,0.22930005609416912
29,0.33164503101079856
30,0.12732411975357197
31,0.24601442149220148
32,0.3644316696323585
33,0.05589867289457542
34,0.14031725515819693
35,0.2507209340797552
36,0.405698242753939
37,0.7267330638100146
38,0.20371054532533642
39,0.08639831040910925
40,0.08963503988731421
41,0.21531307942037672
42,0.6240880696700872
43,0.07641732806751567
44,0.27360317013405233
45,0.3634548071537282
46,0.18443386385777075
47,0.45729231258788783
48,0.5382802572224814
49,0.11472361362396107
50,0.4181868831582155
51,0.36288457817920644
52,0.2646664795049403
53,0.18921919968666295
54,0.5363300319908418
55,0.11905867029865491
56,0.21111717141532532
57,0.4002710941021013
58,0.3519992920014972
59,0.5265427448226805
60,0.16181100451912897
61,0.4804723311884958
62,0.3649369273779438
63,0.3382982526809168
64,0.12416427361110102
65,0.38933654697999986
66,0.20917966425799714
67,0.8577193867824644
68,0.15459145040996083
69,0.14976355181245435
70,0.4031923260855532
71,0.042930026928095645
72,0.19548315582258285
73,0.30113252870937146
74,0.3060318176644459
75,0.08205415458777657
76,0.5066145996912718
77,0.6118173847816214
78,0.3010127836523355
79,0.07868253441359742
80,0.05506402452207499
81,0.16575919673839343
82,0.38070875590993625
83,0.137734707698832
84,0.13431203549556325
85,0.3757847229339631
86,0.2709988242501359
87,0.34752912233623995
88,0.47705206199807326
89,0.22335621780544143
90,0.27451413041412864
91,0.20553020427956525
92,0.3034720945555675
93,0.28152330283124916
94,0.39411983806495565
95,0.48910568190327913
96,0.4442097043481396
97,0.11411030691108448
98,0.24734277342714361
99,0.20010518918964715
100,0.27835080932244805
101,0.5640174984206949
102,0.1489946990523795
103,0.20165524930937745
104,0.2879641754434741
105,0.23419152474726526
106,0.18970224370037408
107,0.35269865979378817
108,0.3118484101432127
109,0.2009222325140691
110,0.08168079440498474
111,0.47354682001885057
112,0.1978948916800621
113,0.7123519558077521
114,0.5875048529921348
115,0.4533813317394459
116,0.47166807393406307
117,0.5427250268332675
118,0.5101980347085477
119,0.3757732003486491
120,0.40053097898944834
121,0.626620725884478
122,0.3429313887928683
123,0.16522971414643917
124,0.5033724299808366
125,0.4042066060444649
126,0.07868555396096127
127,0.26360123640777705
128,0.2582539786239908
129,0.6240033316843273
130,0.26040107603313417
131,0.16946320743516496
132,0.5407559322397593
133,0.19478480444827906
134,0.06887990545793629
135,0.4081542915149071
136,0.36172534093775816
137,0.3375989645997123
138,0.4127175400402187
139,0.45795517756704424
140,0.3801281615918507
141,0.22883850073337772
142,0.1414677049830548
143,0.07287321448756762
144,0.44687255637689216
145,0.279768128197931
146,0.19971599471476809
147,0.08218736120335327
148,0.2545713499265267
149,0.42987208116503034
150,0.38612652940425873
151,0.1620797059166703
152,0.2532675917742343
153,0.16308071565613846
154,0.07952385846686746
155,0.6667763595475985
156,0.2032714901241539
157,0.5552616072854383
158,0.2543553993461441
159,0.43442326792129315
160,0.4549580432612652
161,0.34531384306022517
162,0.4220092098351104
163,0.433111081740276
164,0.4988650678488155
165,0.07938378465018037
166,0.176186008895597
167,0.7775828828400863
168,0.05864283913640061
169,0.20854171087367412
170,0.3347187186034697
171,0.3838837660801729
172,0.5504600672251958
173,0.39060350403492883
174,0.5676004259893483
175,0.2087823484234139
176,0.034647050479104755
177,0.5187672752459596
178,0.25696279185232984
179,0.15317219848562644
180,0.628271848759218
181,0.16697429858417492
182,0.2194874107730575
183,0.3358669613106042
184,0.3367516421427166
185,0.22491414959028105
186,0.4783823266561567
187,0.15869962744119517
188,0.5302941825032673
189,0.670232958918758
190,0.36297770217208636
191,0.37383327738568717
192,0.15572209232017992
193,0.8008496181459662
194,0.1535640745708416
195,0.323191144014051
196,0.594028003731503
197,0.18689834629168883
198,0.3147042850262905
199,0.1633575087386425
200,0.45144783878526973
201,0.5476027134986414
202,0.1510245682886709
203,0.06714327551304734
204,0.020265096341135047
205,0.19079083315973652
206,0.3145915182749565
207,0.6227312727946971
208,0.36324961355267393
209,0.3096082335164432
210,0.4799239160973749
211,0.42099355031573704
212,0.2553732244001163
213,0.12267416716586353
214,0.498267872601404
215,0.38665054906104845
216,0.10297423880754514
217,0.3719661951572694
218,0.20846058132114104
219,0.5945539213787732
220,0.16496101528365886
221,0.5060443339007079
222,0.6493356891926007
223,0.23967420889097077
224,0.30777002028572686
225,0.3931387477373168
226,0.35906610372810693
227,0.09318639284273175
228,0.23947149582705957
229,0.5361186227847963
230,0.2729968243224327
231,0.636892031847686
232,0.5157285652383427
233,0.264955160446557
234,0.22516405508029036
235,0.13276009733882985
236,0.13803798567389045
237,0.27247723472551494
238,0.22125192469229243
239,0.2818441941883931
240,0.5012014218312568
241,0.356253490512045
242,0.48092168360998616
243,0.29358933166396944
244,0.3434091223524368
245,0.27617317095720023
246,0.25923282808434794
247,0.6665982092841207
248,0.2225999956299699
249,0.39028637507150554
250,0.18792127771136868
251,0.6540773063820488
252,0.15269482354801903
253,0.17261178254658605
254,0.5218861131700214
255,0.3932327482616173
256,0.25616397315810746
257,0.4414439664731421
258,0.29660434513898576
259,0.23006992106698437
260,0.2549915525968886
261,0.6023632049668445
262,0.4837032298888094
263,0.40021129701925656
264,0.3295079548505259
265,0.25359136955956196
266,0.22571935487506772
267,0.5078744821781623
268,0.11349076812432074
269,0.08191321353220349
270,0.4327503265562949
271,0.22267041461811926
272,0.5522427734854515
273,0.4970515800136799
274,0.31600786967957184
275,0.49894045362715966
276,0.5229057975539544
277,0.572227403528655
278,0.24488240451072416
279,0.07242626522342746
280,0.015948358307271447
281,0.5192852535674672
282,0.3049656784272177
283,0.149706420472428
284,0.34620562351302414
285,0.31115129592300095
286,0.33174075076411136
287,0.2633102627296781
288,0.4558267013603829
289,0.14539009635465006
290,0.278427774808771
291,0.19289275840051484
292,0.43097613112464966
293,0.18997629404518687
294,0.11322783313393725
295,0.38036891809333223
296,0.363691266064873
297,0.09835973530909621
298,0.5298797834208773
299,0.3573692424359294
300,0.24211707399507496
301,0.04554165254028526
302,0.46963875377395287
303,0.35900849112701533
304,0.40780250580682015
